Week;El_App_WT
0;10.58718
1;17.06264
2;21.47834
3;13.96771
4;21.63552
5;21.68167
6;31.49573
7;39.64071
8;66.88550
9;66.30338
10;58.96958
11;68.78899
12;71.31894
13;65.56498
14;67.80550
15;58.28119
16;47.53432
17;48.84716
18;38.50612
19;35.51756
20;7.50320
21;20.48373
22;43.02527
23;62.44949
24;76.00682
25;86.33572
26;104.74970
27;105.95242
28;80.96493
29;81.32425
30;85.05728
31;89.95497
32;98.69828
33;102.80552
34;97.34724
35;78.29687
36;75.35342
37;77.43361
38;58.21110
39;48.05291
40;58.24641
41;61.88536
42;67.93679
43;84.65104
44;79.87001
45;88.51921
46;109.33689
47;116.53018
48;119.63556
49;106.86136
50;110.72575
51;110.63721
52;111.13585
53;109.85019
54;96.10167
55;74.95168
56;63.45535
57;80.86746
58;85.73353
59;67.03016
60;64.43469
61;73.71181
62;64.54648
63;66.39771
64;80.84980
65;71.91513
66;66.14927
67;59.42486
68;48.39556
69;47.61070
70;72.25232
71;78.53149
72;87.28131
73;88.27639
74;58.55809
75;50.38053
76;45.87121
77;57.51823
78;86.56736
79;92.15228
80;87.52200
81;93.12198
82;110.34277
83;110.58189
84;73.91359
85;57.26785
86;28.09887
87;14.35784
88;20.43330
89;26.98480
90;15.22072
91;23.33178
92;21.49114
93;17.12308
94;9.07723
95;16.41968
96;26.23573
97;20.36181
98;37.21074
99;40.25904
100;37.45632
101;23.54292
102;10.07205
103;10.83079
104;23.46191
105;19.63203
106;22.36073
107;22.88330
108;16.33294
109;22.24006
110;34.06753
111;49.26255
112;62.08599
113;48.32665
114;40.26055
115;34.54286
116;44.37321
117;17.86867
118;9.77117
119;12.16903
120;20.32296
121;19.96381
122;34.04931
123;25.90992
124;21.03519
125;30.00854
126;45.95939
127;42.64723
128;33.94654
129;42.93723
130;52.70704
131;38.90877
132;57.33123
133;64.37147
134;72.17974
135;68.43148
136;74.31289
137;51.26085
138;50.03218
139;28.27151
140;30.20319
141;27.86237
142;32.76611
143;35.10734
144;39.88833
145;53.08943
146;41.17537
147;46.42123
148;38.53104
149;43.66869
150;29.56981
151;12.06699
152;17.17592
153;24.35876
154;21.30721
155;19.94596
156;10.82667
157;22.46992
158;24.19727
159;21.86452
160;13.08509
161;9.72388
162;17.37812
163;23.18293
164;41.84557
165;39.79127
166;16.29726
167;15.69483
